,RH,SR,Temperature,WBGT,Wind
0,78.56096,3.5999988e-12,16.560272,13.764493,2.9521205
1,84.37453,3.5999988e-12,16.267975,13.78936,2.881089
2,86.4725,36044.13,17.870605,15.397643,3.1097088
3,86.20173,455627.8,19.076263,16.871237,4.2878337
4,83.329216,1035279.44,19.344635,17.434689,4.4197702
5,65.626526,1624435.0,23.589935,20.659258,4.4701633
6,58.679478,2159590.0,24.605011,20.314432,4.4124517
7,56.5197,2438129.0,24.806732,20.303885,4.2213817
8,47.703533,2501847.0,26.583405,20.897911,3.9734738
9,45.756466,2294846.0,26.899994,20.92533,3.72101
10,50.198822,1869423.0,25.432404,20.135687,3.3218944
11,49.1677,1280021.0,25.517914,20.704933,3.1177378
12,49.70076,604371.06,25.447662,20.215767,2.2352898
13,53.250607,74664.47,24.420258,19.193771,2.0408123
14,62.498516,3.5999988e-12,20.807037,16.630291,2.1780336
15,63.675213,3.5999988e-12,19.880585,15.891842,2.1931467
16,62.372597,3.5999988e-12,20.02243,15.929038,2.3177402
17,69.13132,3.5999988e-12,18.619843,15.09917,2.4589627
18,69.646484,3.5999988e-12,18.578888,15.093582,2.422753
19,69.37577,3.5999988e-12,18.611725,15.109745,2.3423908
20,73.16726,3.5999988e-12,17.122467,14.004819,2.2430885
21,73.31459,3.5999988e-12,17.05362,13.956035,2.0927472
22,79.55209,3.5999988e-12,15.849274,13.196246,2.050433
23,79.63787,3.5999988e-12,15.905487,13.2480135,2.1571627
24,77.02878,3.5999988e-12,16.900116,13.99847,2.5190973
25,76.87511,3.5999988e-12,16.791443,13.886985,2.86963
26,75.99012,36197.95,18.419312,15.312752,3.250209
27,74.51554,496792.8,19.350952,16.454098,3.5042794
28,74.76206,1176858.0,19.603851,17.265997,3.9391649
29,57.826805,1794998.0,23.63852,19.361032,4.351329
30,53.4505,2255224.0,24.63559,19.83444,4.1659937
31,51.767044,2502792.0,24.777496,19.812563,3.8279445
32,43.165806,2524488.0,26.819305,20.597137,3.4886885
33,41.577904,2312557.0,27.197205,20.703962,3.1615992
34,44.120472,1888673.0,26.122345,20.06944,3.216409
35,43.02023,1296620.0,26.199402,19.952734,3.173842
36,48.696365,616798.1,25.849274,20.501835,2.028953
37,45.90858,78299.45,25.336151,19.339252,2.4023025
38,57.581375,3.5999988e-12,21.46756,16.86732,2.3517368
39,61.207474,3.5999988e-12,19.998077,15.834823,2.320271
40,60.548927,3.5999988e-12,19.861298,15.678879,2.249616
41,63.258915,3.5999988e-12,17.887299,14.140527,2.3480024
42,61.634373,3.5999988e-12,18.230621,14.335412,2.5574994
43,60.5294,3.5999988e-12,18.485321,14.481187,2.7797663
44,65.39408,3.5999988e-12,17.3508,13.78462,2.7293594
45,66.88712,3.5999988e-12,17.331268,13.849841,2.6098359
46,72.45757,3.5999988e-12,15.782928,12.793626,2.611381
47,74.67958,3.5999988e-12,15.740265,12.862811,2.5168102
48,72.28587,3.5999988e-12,15.786346,12.793096,2.4104218
49,76.216064,3.5999988e-12,15.86264,13.045433,2.340589
50,74.00715,35493.535,17.713959,14.591103,2.6739326
51,69.26095,500440.38,19.292267,16.105093,2.925017
52,66.58632,1188828.0,20.222229,17.315083,3.6894612
53,51.04031,1810463.0,24.944214,19.807297,4.328639
54,48.436623,2274157.0,25.111511,19.731886,4.281103
55,46.242462,2533383.0,25.226837,19.630545,3.8976068
56,37.837036,2556541.0,27.484283,20.535053,3.3967576
57,35.579063,2346288.0,27.82309,20.518965,2.8618205
58,36.11693,1919174.0,26.666168,19.639194,2.63046
59,37.375534,1322364.0,26.731659,19.765747,2.4222329
60,49.73604,635050.6,26.332611,21.106455,1.3034834
61,35.14224,82882.22,27.026276,19.758081,2.3665657
62,52.459724,3.5999988e-12,21.266144,16.327873,2.683299
63,55.553032,3.5999988e-12,19.738129,15.258386,2.4009895
64,53.523804,3.5999988e-12,19.873016,15.248832,2.3386776
65,60.448444,3.5999988e-12,17.498016,13.66745,2.1875234
66,61.458344,3.5999988e-12,17.363312,13.609738,2.1292696
67,63.7869,3.5999988e-12,17.181671,13.568271,2.3723073
68,69.52001,3.5999988e-12,16.22586,13.0397,2.3981302
69,72.37769,3.5999988e-12,15.676849,12.706265,2.2760057
70,73.978455,3.5999988e-12,14.8385315,12.057484,2.2750254
71,74.69723,3.5999988e-12,14.870392,12.115096,2.3274412
72,74.73675,3.5999988e-12,15.724579,12.857437,2.2615557
73,75.20647,3.5999988e-12,15.890472,13.022552,2.3276386
74,71.571884,34508.22,18.059235,14.7609005,2.7821374
75,68.771194,492222.2,19.410126,16.151882,3.1286864
76,63.472683,1174926.0,19.595123,16.555517,3.4008615
77,51.32419,1795024.0,24.822876,19.732763,3.4736104
78,48.518528,2257886.0,25.971344,20.450277,2.7325761
79,48.318863,2517100.0,25.961273,20.44778,1.3624142
80,41.40544,2536786.0,27.950592,21.375788,0.57275903
81,38.86257,2325077.0,28.545868,21.531483,0.57992715
82,42.21365,1901984.0,27.806702,21.227392,1.1756668
83,40.48203,1309227.0,28.090485,21.194124,1.0584753
84,46.46107,628050.1,28.078217,22.373941,0.99973154
85,45.75538,82946.16,26.892365,20.718124,1.72909
86,57.915558,3.5999988e-12,22.959015,18.24668,1.5576216
87,54.82444,3.5999988e-12,23.065704,18.192226,0.84602356
88,57.722862,3.5999988e-12,22.360748,17.843061,0.51318914
89,64.56351,3.5999988e-12,20.29123,16.35785,1.3147578
90,65.66304,3.5999988e-12,20.06015,16.219294,1.3411353
91,64.16594,3.5999988e-12,20.514801,16.540947,1.1869683
92,67.07376,3.5999988e-12,19.116608,15.509998,0.82284635
93,67.04585,3.5999988e-12,19.183502,15.584208,0.67745185
94,77.36289,3.5999988e-12,17.607697,14.7338,0.5609417
95,76.583824,3.5999988e-12,17.82663,14.870961,0.8184362
96,75.193054,3.5999988e-12,18.322418,15.210652,1.4487141
97,80.24049,3.5999988e-12,17.155243,14.401094,2.105426
98,80.52817,33497.133,17.397919,14.676816,1.630115
99,71.812775,490763.8,19.72525,16.669434,2.031209
100,65.313126,1174452.0,20.038483,17.099752,2.4490666
101,49.49686,1798787.0,24.922089,19.632914,2.6036918
102,44.369556,2263558.0,26.20932,20.20556,2.4609473
103,44.622696,2518265.0,26.319366,20.3487,2.0050633
104,39.003723,2542587.0,28.433624,21.423569,1.7820333
105,37.924763,2333576.0,28.967133,21.698517,1.745677
106,37.992943,1910678.0,28.150177,21.012127,1.8175672
107,37.268005,1318855.0,28.339386,21.014751,1.550292
108,48.54351,636382.5,28.124115,22.61779,1.0534112
109,39.05073,86248.38,28.0159,21.011309,1.8298
110,57.096596,3.5999988e-12,23.146881,18.310965,2.129508
111,63.79257,3.5999988e-12,21.539703,17.373512,2.0487864
112,66.33286,3.5999988e-12,21.54129,17.546848,2.10886
113,78.619026,3.5999988e-12,18.533844,15.573225,2.0516312
114,82.537254,3.5999988e-12,18.3284,15.607875,1.8515776
115,85.79493,3.5999988e-12,17.860626,15.344929,2.0439508
